"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"J1565,""PAD_6"",""143mm"",""54.967mm"",""143mm"",""54.967mm"",""143mm"",""54.967mm"",""T"",""90.00"",""PIN"""
"J1564,""PAD_6"",""141mm"",""145.033mm"",""141mm"",""145.033mm"",""141mm"",""145.033mm"",""T"",""90.00"",""PIN"""
"J1563,""PAD_6"",""140mm"",""139.837mm"",""140mm"",""139.837mm"",""140mm"",""139.837mm"",""T"",""90.00"",""PIN"""
"J1562,""PAD_6"",""141mm"",""138.105mm"",""141mm"",""138.105mm"",""141mm"",""138.105mm"",""T"",""90.00"",""PIN"""
"J1561,""PAD_6"",""141mm"",""131.177mm"",""141mm"",""131.177mm"",""141mm"",""131.177mm"",""T"",""90.00"",""PIN"""
"J1560,""PAD_6"",""140mm"",""129.445mm"",""140mm"",""129.445mm"",""140mm"",""129.445mm"",""T"",""90.00"",""PIN"""
"J1559,""PAD_6"",""141mm"",""127.713mm"",""141mm"",""127.713mm"",""141mm"",""127.713mm"",""T"",""90.00"",""PIN"""
"J1558,""PAD_6"",""141mm"",""124.249mm"",""141mm"",""124.249mm"",""141mm"",""124.249mm"",""T"",""90.00"",""PIN"""
"J1556,""PAD_6"",""140mm"",""74.019mm"",""140mm"",""74.019mm"",""140mm"",""74.019mm"",""T"",""90.00"",""PIN"""
"J1555,""PAD_6"",""141mm"",""72.287mm"",""141mm"",""72.287mm"",""141mm"",""72.287mm"",""T"",""90.00"",""PIN"""
"J1554,""PAD_6"",""140mm"",""70.555mm"",""140mm"",""70.555mm"",""140mm"",""70.555mm"",""T"",""90.00"",""PIN"""
"J1553,""PAD_6"",""141mm"",""68.823mm"",""141mm"",""68.823mm"",""141mm"",""68.823mm"",""T"",""90.00"",""PIN"""
